,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
916,34caf57bee1345a8857b31c3f014b516,TA5751,1,26.8,16.0,274343.9573152596,599,335,580.1663208007812,305.1623229980469,0.85049007023658,1762.971773982048,51.99089125150103,0.2622963045829138,255.38725503556927,475.2579792308321,-1.4223549714046757,53.51773586726244,179,117
249,f83fd84f552544af9e8408c4d5bbf949,0257,1,23.3,26.6,248324.43930757852,648,225,682.1453247070312,182.9532470703125,0.963362490840258,1689.2905346155167,56.84536082474226,0.27174533579959353,244.597639948194,430.05244805561404,1.451454916233019,7.600685532182903,94,133
1598,8893cec5da144ec09ab50a86b1851a2b,TA5751,1,26.8,26.799999999999986,273336.69374959986,574,346,562.609130859375,302.1680908203125,0.8435290721331974,1719.1311542987823,49.605961298377025,0.2618064705021227,258.75280706591496,475.11803462602563,-1.3380391340896287,54.44925377706278,197,119
849,7867ab0ba228469eb2ec7a2dc330d378,TA0154,1,22.9,13.5,324586.5145691265,595,324,678.9766235351562,198.8600311279297,0.9561485942872576,1703.4154250621796,44.30194999401842,0.3696162378232401,263.4020668058455,407.36866388308977,1.207880255271051,28.709895015811163,94,93
586,1429712bc63c4bc086f26fff114d08bf,CG1741,0,27.2,20.4,247011.6495496438,635,345,678.8263549804688,166.2760467529297,0.9695366312104488,1760.8367788791656,35.208946707748495,0.22736436597110754,232.17694553133342,395.48481460778834,1.1310173190942998,29.568834592724908,70,65
57,54dc10e75aac43c3828227826b97919a,0238,1,25.8,17.700000000000024,309142.8390601809,520,205,522.7870483398439,192.4538116455078,0.9297741658848064,1458.9230035543442,59.344314222363,0.32175817536439844,262.9280327389652,426.96587255188535,-1.4942513223713845,23.119063243848963,181,164
946,d925e2f4081f4a7f9fca62d7985e9a3d,TA0441,1,13.5,26.799999999999986,133344.19805459323,339,315,446.4857482910156,149.24607849121094,0.9424779223331732,1055.9108109474182,44.78903619528619,0.4060716642726814,307.5619377031829,559.5099606864746,0.8381894786201277,151.41850901213718,385,146
314,c79acbcc6dbf442b9c83b5aaaedb863e,TA433,0,17.7,17.700000000000024,208310.03836661886,527,425,616.951904296875,204.69137573242188,0.9433573176212344,1813.8906016349792,34.3285365335599,0.3085466266675177,217.39993593534402,451.7263453577765,-0.9407193308413004,35.77028267466231,181,23
959,7166f1ace21b41e892bcdca9ed0068dd,TA0440,1,16.0,26.80000000000005,209072.30319021764,572,305,636.6287841796875,195.0230865478516,0.951923060341727,1678.4864927530289,41.287942887361176,0.3251982993844787,287.26686399941286,533.0470173807747,1.2329937722442643,118.85036151388849,255,122
284,040cbfec3f90401988a51535076bbff2,CG1741,0,27.2,17.700000000000024,306090.1431258214,535,383,596.7439575195312,233.3140869140625,0.9203997902307663,1600.2438521385193,36.73228955340654,0.20374782032075053,197.806049334144,315.1969431429355,1.0459490248189771,116.6980490592465,3,25
1004,a83f3bbc04164b989ff64621a77a3b4e,TA433,0,17.7,17.700000000000024,228829.2265224812,583,320,672.3124389648438,155.7480926513672,0.9727967472021336,1575.2905346155167,33.359253120124805,0.2598037797007496,242.86115216239583,408.4767169506176,-1.1845013347878788,15.784755567560243,88,92
1051,aefa437492b54406b3be4ae2508cf31c,TA5751,1,26.8,22.3,260795.66208045915,678,243,673.96728515625,238.5872344970703,0.9352438410684276,1758.5869979858398,59.29721389268974,0.2766834631241411,257.21093387168617,471.3781455258893,1.5173379618387242,50.40738951987,108,140
1483,ce994c47ec8744aabf6ef5c28a24156b,TA0440,1,16.0,22.300000000000008,214061.1419736721,633,331,708.7928466796875,200.9096984863281,0.9589860296485684,1801.273289680481,39.56155754999492,0.308882534193434,242.3045269250933,518.6139541850787,1.2490240749758112,94.64201588557074,205,56
54,abc69a7c952c4963ad7ca15e0303540e,0238,1,25.8,27.2,298153.7815638179,732,246,795.880859375,215.23362731933597,0.9627383815795264,1940.0773315429688,57.899473334355974,0.329608497883417,248.51350660417557,446.97083084789085,1.495226278293272,24.49773182443136,64,120
885,8d441de503244d938f166f8300fe7fe7,TA433,0,17.7,26.80000000000005,222784.32140666022,559,426,646.129638671875,190.5580291748047,0.9555212431210078,1849.505825638771,33.874666999667,0.30136686181672123,218.8620888972774,424.2116500731374,-0.9345874000059444,21.13897068307874,129,19
63,3a37bec1a899476ca056cca3b56302b1,0274,0,25.4,24.0,214553.6679252316,468,276,500.41729736328125,186.5263214111328,0.9279351989282439,1261.0996288061142,48.48949010562957,0.4708402692335529,302.79362843823503,613.4869794234046,-1.1111292568727436,199.62052786085118,344,157
1743,9367e0d634ce4e35a5b6a1c4097dd3fe,TA0440,1,16.0,26.80000000000005,163116.0590219325,612,379,681.1205444335938,220.4152984619141,0.9461916207886152,1942.694643497467,34.60566801619433,0.15879967558799676,231.94890160234212,505.262732697164,-1.2370298718666295,81.66058970408862,191,21
