,uuid,id,sex,area,width,height,MA,ma,% area,eccentricity,perimeter,symmetry,weight,x,y,centroid_x,centroid_y,center distance,orientation
46,31a1b67345254c29aca46ef3852fe55d,0236,0,292232.0708241051,561,321,666.3485717773438,164.72425842285156,35.66630396438562,0.9689633711530814,1552.971773982048,0.278492545554942,25.5,190,112,281.946239543274,478.13311924301894,68.48271030559924,1.1920615143696234
47,26cbdf757fce400790f88cd944878179,0236,0,283785.7769348177,621,259,640.7603149414062,211.05722045898438,50.57915057915058,0.9441954918639534,1680.562612771988,0.21766771040895722,25.5,105,140,253.3216803288099,433.54052719799773,16.3856286421588,1.353408891097769
48,fcca3281068d45a6a8d755b535a9d909,0238,1,309477.39377528743,514,206,510.4524230957031,201.23460388183594,59.80650634943804,0.9190126965865719,1455.0651389360428,0.3068322605989182,25.8,178,161,262.20155854788953,422.17854584265393,22.276150861463478,-1.5132242798754465
49,93bd14238e84418e819115149855375e,0261,1,304958.36677401833,648,256,665.6419677734375,224.8509521484375,58.78424637995367,0.9412194791858123,1827.8002010583878,0.3237532024733689,27.1,81,199,330.79444799819385,427.70362357013846,90.86995441203881,1.4757963994862435
50,b3287109fe814993906d982cb9dea2b7,0236,0,282422.4562327952,624,256,649.4364624023438,208.96009826660156,51.3281859399376,0.9468226110393585,1690.462107539177,0.21858412287412465,25.5,97,139,251.18043060405128,425.1644052182023,11.240901565452091,1.357537185105632
51,2ade934b0c8445d5869f1e274dce22cc,0277,0,165711.62902492136,425,210,435.5877685546875,171.80479431152344,50.05175622816534,0.9189300194920497,1200.4478269815445,0.43954270872277207,26.0,350,69,184.67729523809524,597.8967619047619,182.4847540567001,-1.2517185305298755
52,8cb9ee260d6243369c6cdf505fd74d7d,0268,1,282613.85933324153,544,326,630.4264526367188,189.13648986816406,38.53625274642018,0.9539349341473031,1665.3565499782562,0.2758002727095643,24.5,158,89,280.39298710718174,431.7330648892668,41.126557113652986,-1.1851015035625014
53,fa0ca8ed6e2142908594359886f768b3,0238,1,299745.6473853237,513,206,506.871337890625,204.6846160888672,59.41137135834598,0.914838605774794,1456.8224983215332,0.30284586528466184,25.8,181,156,258.09875571874,427.2435818981846,18.387109128322873,-1.5291423294080044
54,abc69a7c952c4963ad7ca15e0303540e,0238,1,298153.7815638179,732,246,795.880859375,215.23362731933594,57.89947333435598,0.9627383815795263,1940.0773315429688,0.329608497883417,25.8,64,120,248.51350660417555,446.9708308478909,24.497731824431362,1.4952262782932721
55,32e5dfa1b03748519b7ce76b5fb1c4ae,0268,1,286327.05815218133,570,306,595.9765625,222.934814453125,46.09036500503304,0.9274019189702419,1797.1139093637466,0.28993825345486623,24.5,101,98,281.30083330483455,389.5620304823137,53.77483218174487,-1.3192899956698603
56,2a9930aaae514dd89b8047cbbf3e9252,0239,1,239434.24926277713,498,328,528.875,204.26214599609375,36.24378531073447,0.9224066608998782,1413.550420165062,0.1995737978319281,22.8,176,106,227.65003134047697,432.7265170283258,15.121964995887984,1.0991704193801795
