,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
589,39281618050d45cfb60a19c1b129ae36,TA5751,1,26.8,26.799999999999965,262772.66128819715,684,242,678.2943725585938,242.81982421875,0.9337269903202948,1768.4864927530289,59.57049566550013,0.2822592172595508,249.19637893332344,464.5575590230162,1.5325238556650418,41.58712516381385,98,132
1851,bd3a662bed4e4b6685411c9454665360,TA5751,1,26.8,27.2,275271.31102794386,607,329,587.4784545898438,302.01971435546875,0.8577332738406339,1765.9423364400864,52.26665296052632,0.2521993044060483,254.21850049391446,474.3031275205496,-1.4380574173399967,52.2739934828411,172,117
1411,0f71c757d15f4324b84c67cf8910f3ef,TA332,1,20.4,26.799999999999965,250668.53269955193,579,282,619.8065185546875,172.70263671875,0.960395739593026,1674.7291333675385,42.035856550124,0.3249369223692097,273.60276217857427,449.2220087594378,1.27309679471682,42.01541802589836,147,117
1552,e94a12541b2f4ef6837a6522a345a87e,CG1741,0,27.2,26.799999999999965,306090.1431258214,535,383,596.7439575195312,233.3140869140625,0.9203997902307663,1600.2438521385193,36.73228955340654,0.20374782032075053,197.806049334144,315.1969431429355,1.0459490248189771,116.6980490592465,3,25
1755,91bb238a1d7b45d4863d245c013f56df,TA0477,1,16.1,26.599999999999998,199271.32405274268,458,341,454.3264465332031,308.3648681640625,0.7343881455371861,1649.1555395126345,55.835650450016786,0.496145318672414,223.76091295955075,456.0196323593928,-1.2565958788533882,35.9021559845361,240,57
525,f376297391c74f128c7bba0db1fa02bd,TA0154,1,22.9,26.799999999999965,306686.3033448682,598,278,649.6727294921875,195.22262573242188,0.9537837687639332,1679.5331752300262,49.73485999932449,0.3727394169351489,286.7588886581487,409.23235657372703,1.3197606457192643,49.03546635763436,92,142
740,77da081a1b4c4fdfa4042441e4a5a632,CG1741,0,27.2,13.9,243140.64446763825,637,340,682.673828125,164.3256378173828,0.97059736528332,1764.594138264656,35.411534926470594,0.2251699893314824,241.22677697448512,390.0484087351867,1.1387414733894536,33.97374767608182,62,77
530,0e0ebb02dab6445f878217a2a1566313,TA5751,1,26.8,16.10000000000001,259537.85957209673,652,275,633.3251953125,268.430908203125,0.9057353361070236,1772.4692478179932,58.61998497702368,0.2634035905063942,247.24113649389994,465.95678557456984,1.5563381178537,42.57705853477581,126,120
731,5cac17f855454327a74de139013398b5,TA0477,1,16.1,26.799999999999965,211835.46361016863,575,350,576.3021850585938,273.86676025390625,0.8798703481419409,1687.6996958255768,43.87030516431925,0.21172879781481194,219.26072880590272,452.34279475982527,-1.234415065698748,35.120241805259475,174,15
1213,cf0d2faf75ef4c79a7585731293d93c4,TA0440,1,16.0,26.799999999999965,201368.63458506516,585,308,647.3565063476562,201.72830200195312,0.9502072791578734,1731.072279214859,41.23901987979658,0.32188285846822434,270.828953722571,520.3207736069069,1.2500750289808424,101.13414762512922,239,101
744,7cec9508f13b4ce9a42938513670b6ef,TA5751,1,26.8,26.799999999999965,272721.8989755636,619,317,598.3428344726562,292.89398193359375,0.8719984517824974,1759.7413259744644,53.31147623354437,0.2538791247870927,254.92499567422843,469.7763803764788,-1.4704037167540709,48.14802691957176,157,121
1509,7b3dc831c7df4564b8806866bdfb106a,TA433,0,17.7,16.10000000000001,208310.03836661886,527,425,616.951904296875,204.69137573242188,0.9433573176212344,1813.8906016349792,34.3285365335599,0.3085466266675177,217.39993593534402,451.7263453577765,-0.9407193308413004,35.77028267466231,181,23
40,f6f09697cf0a437187946b88da3ea27b,0251,0,24.2,17.700000000000028,269987.7884336236,606,294,682.5702514648438,169.4478759765625,0.9686960694363368,1714.8296386003494,39.268271411128545,0.2802758763473557,266.56453240008466,391.43002503331553,-1.3002283528005616,42.02948549489521,70,128
1384,aad88b8ee4454c8dbda99fef06cc14cb,TA0477,1,16.1,24.2,205126.64641781934,575,350,576.3021850585938,273.86676025390625,0.8798703481419409,1687.6996958255768,43.87030516431925,0.21172879781481194,219.26072880590272,452.34279475982527,-1.234415065698748,35.120241805259475,174,15
548,6002986b7b3d410193215b601fe5b758,TA332,1,20.4,26.799999999999965,284239.54137694946,550,437,685.9056396484375,187.05870056152344,0.9620940613415496,1643.7657111883166,35.65399953984201,0.2348657940253251,272.0376237004286,301.8154999635025,0.9553794253894644,126.3149293691728,6,39
1100,5d6c68f35067466991f49d4b7b17ed3a,TA5751,1,26.8,26.799999999999965,261801.61320143426,682,243,676.0172729492188,245.27040100097656,0.93186050137353,1773.3149198293686,60.002563445270454,0.2870176629154178,246.10754147674643,464.8441446481469,1.5323454003991517,41.29825922395432,100,128
622,4323af9b2caa4d2fb70afb9715c93121,TA433,0,17.7,16.0,208310.03836661886,527,425,616.951904296875,204.69137573242188,0.9433573176212344,1813.8906016349792,34.3285365335599,0.3085466266675177,217.39993593534402,451.7263453577765,-0.9407193308413004,35.77028267466231,181,23
32,5e91204b35824294824c042577bde77c,0261,1,27.1,26.800000000000008,318186.00342184264,691,287,725.1209716796875,231.0948486328125,0.9478561965085948,1898.9545290470126,54.905566786463005,0.32986601890800754,297.80646579615404,429.69590682085925,1.4155423183093614,58.08640841327545,57,154
1375,88a30d35fb8140e99c6e5d11dcdd1304,TA0159,1,22.3,26.799999999999965,273892.57492726424,444,334,462.5920715332031,291.0947570800781,0.7771877373908432,1662.136206626892,54.66227327087901,0.5045203869451225,249.9067848882036,534.1729816059037,1.2512168457045103,110.61749528332277,290,107
1832,f2ad06d595574453aa4f5234ecbf3fd3,TA5751,1,26.8,20.39999999999999,256668.84167623817,676,242,672.5946044921875,239.88755798339844,0.9342342747365724,1763.072279214859,59.478717201166184,0.2773820644558617,257.0990904875025,469.2111564342568,1.5242560433458472,48.336606848460455,108,140
1500,a27c3fdfb90b48baa1aba588885198c7,TA5751,1,26.8,26.799999999999965,265448.13052810077,635,289,615.384521484375,280.6762084960937,0.8899290902960313,1766.7118884325027,57.838051385445326,0.2575587486903158,247.38280104545169,467.0834084637872,-1.5634047160824167,43.71139252110651,139,116
126,1ef33987e4b042569954ed1b281d1234,0261,1,27.1,16.8,311694.1334417644,650,288,696.1997680664062,209.70802307128903,0.9535552482595224,1759.859076142311,51.270922364672366,0.3479185221363519,321.7998854664426,428.8846496869104,1.3382106528052204,81.94559820324069,78,177
761,5ec284a14a314940bc52eecb14cbc6d2,TA5751,1,26.8,26.799999999999965,257742.3048500793,677,241,672.158447265625,240.41357421875,0.9338465278937078,1755.4154250621796,59.174466209712016,0.28041983210606697,256.25590056240844,465.93616900609675,1.531310994630282,44.976622527740076,103,139
1508,b5d12c00fd1a45d89a985aa6b513ad58,TA332,1,20.4,26.799999999999965,257555.23782146102,583,290,629.7907104492188,175.19322204589844,0.9605298626842508,1691.1139093637466,42.0369515538003,0.32776629165212257,259.38684381075825,445.0981464679197,1.2679704124513465,28.65277468805641,143,98
1632,83b10a3c43004e338f783c066fee9b20,TA0440,1,16.0,17.700000000000028,194443.0393734215,585,308,647.3565063476562,201.72830200195312,0.9502072791578734,1731.072279214859,41.23901987979658,0.32188285846822434,270.828953722571,520.3207736069069,1.2500750289808424,101.13414762512922,239,101
1011,cefeb35cd4c548c48b81d2cbe794dabe,TA5751,1,26.8,27.200000000000014,262651.77046129486,679,241,680.5358276367188,230.7298126220703,0.94077145800156,1763.1311542987823,59.16496706285018,0.2897590420668705,260.26018826770746,481.58903493667015,1.4990558004914505,61.04893261622157,116,146
1478,64ea7f66bb984ab5a4a5dadb897a01c2,TA0154,1,22.9,16.0,309422.75557245425,606,283,666.6633911132812,199.01931762695312,0.9544001123593008,1724.2783420085907,49.59388308378292,0.35500871127271155,288.4298212407992,394.0624605678234,1.3403325181973735,56.93596273594481,77,138
481,026304cb64a146aba892bb12e67c6771,TA5751,1,26.8,24.5,274343.9573152596,599,335,580.1663208007812,305.1623229980469,0.85049007023658,1762.971773982048,51.99089125150103,0.2622963045829138,255.38725503556927,475.2579792308321,-1.4223549714046757,53.51773586726244,179,117
1338,33ead735974e4c40a44ceb734350bd31,TA433,0,17.7,24.5,218406.93450451558,537,424,632.47802734375,191.8701934814453,0.9528751853494386,1798.4347579479218,34.76713789877689,0.2992477082502989,218.29412757747497,432.26626070179674,-0.9343108646242336,23.2266218726056,155,22
1770,a4d5679ecabb4d42a31878f9e17ff059,TA5751,1,26.8,24.5,253473.28772212288,676,240,672.536376953125,240.24148559570312,0.9340213876720644,1759.072279214859,59.58775510204082,0.28580031664934485,255.6987525477466,465.37642485090964,1.5318879068073905,44.254484123062106,104,139
1147,0cbc41a70b1b4f78bd314fb455bb6f17,TA5751,1,26.8,21.8,260715.59185224655,672,257,658.2243041992188,254.6122283935547,0.9221565768542084,1782.3271124362946,59.86188187354368,0.2785183525633845,246.69536357692863,463.4349302629667,1.5413459734108192,39.99927022174668,108,125
188,1c2dd0f191f44757b2465e59e2a60207,0253,1,21.8,26.799999999999965,265011.8700035829,599,395,692.1317138671875,190.6937713623047,0.9612963160545396,1704.6357684135435,34.13974020621825,0.2649459493685459,247.0288162339972,482.51290229374115,-1.0629217477676032,58.93355574278709,196,25
1746,baf4d0f431cd418d8ce0c27a34719dca,TA5751,1,26.8,17.700000000000028,270224.14240469004,616,323,593.7654418945312,298.0153503417969,0.8649212822939323,1766.670258283615,52.46261314443132,0.2514245279505419,254.2342891841433,471.8823161558121,-1.4532570385608514,49.95329007205598,162,119
1491,d4b1d6d0a516462b8e8b3decead79848,CG1741,0,27.2,16.0,232729.2226599373,626,344,691.1846313476562,146.83987426757812,0.9771726622260166,1641.2387998104095,31.906203946659,0.22468619246861926,249.6379973635361,400.94966506147273,1.1111673091626242,24.98417366970184,71,79
1484,468d176057f34cb0a0a8323fe1d6a017,TA0477,1,16.1,26.799999999999965,194987.4011954266,442,348,435.897216796875,310.7760314941406,0.7012076165581866,1663.1555395126345,56.32376334154351,0.5593339057345564,235.6000815597756,406.2474237030343,-1.223305400887605,18.289703317993343,199,65
634,cf76326cfb98440d848cecdbbcd34766,CG1741,0,27.2,17.700000000000028,252576.743125495,633,343,677.0701904296875,164.71478271484375,0.9699571598654168,1751.1799247264862,34.973926479109004,0.21976247525783932,235.63553413209823,391.50802960128885,1.1311955199336934,32.78378719280016,67,69
1386,32d2dc2e191748d9a657d7a7e9ac8bf3,TA5751,1,26.8,26.799999999999965,267160.3382814277,574,345,560.2484741210939,299.73583984375,0.8448487731772285,1706.5453678369522,49.510171649672785,0.25466815757443817,259.4508476208823,477.4271912926218,-1.3349995562408798,56.85771928761468,199,118
780,7fca22edf66541448eabea1020b4f44b,TA5751,1,26.8,26.799999999999965,271962.5082380199,584,342,567.2086791992188,308.0313415527344,0.8396904781196236,1747.273289680481,50.86589352428393,0.2637650610989261,258.9038411723347,475.57817414794806,-1.3875205691125592,54.933261868424616,191,120
1177,307e5049a393491ea4b00a610b758a74,TA5751,1,26.8,17.700000000000028,271527.284801069,616,298,598.192626953125,285.2237243652344,0.8790068397453644,1741.4986853599548,56.247433819557,0.2573551149639039,253.2501368566577,466.4615548772002,-1.5177190142869972,44.48089218203296,153,122
567,cec5746c84a64066a4025185ee8ea1bf,TA5751,1,26.8,17.700000000000028,265083.6195232749,592,339,574.3350219726562,307.1004638671875,0.8450380711005525,1757.6580656766891,51.42391299065466,0.2640581749941356,257.1506049991312,476.7588417673474,-1.4070466178476655,55.476469214147215,186,118
389,f3c8d2e73f374112a5c80558732b66e6,TA0440,1,16.0,20.39999999999999,207635.04330200673,593,313,655.8245849609375,204.3174133300781,0.950232128081294,1751.072279214859,41.05406543329123,0.32210239364881993,263.485581084044,517.6875497651661,1.2551440978945223,96.58638361516428,232,89
1599,1aeb67592bee491fafd3cec425a3d542,TA5751,1,26.8,26.799999999999965,262572.1672910057,644,280,626.3405151367188,272.703125,0.9002413763127934,1767.3981801271439,58.57446456171341,0.2684382895106204,247.3768997514046,466.9938716227906,1.5627910613529852,43.62214629129655,133,119
1675,455f1ebd6e6b4beb8770c81fe89964c9,TA433,0,17.7,18.9,214801.10453700973,545,431,627.9682006835938,210.8431854248047,0.9419495087488522,1860.6601536273959,34.325621962165734,0.3104008601204657,217.79659018558257,453.60723465465605,-0.9453961899371864,37.007833647524336,170,18
